                             t1   p-value (t1)         t2   p-value (t2)  
--------------------------------------------------------------------------
          mardia   186466.93692            0.0   13.57991            0.0  
         royston      301.84558            0.0                            
   henze-zirkler          400.0            0.0                            
  doornik-hansen            nan            nan                            
          energy            nan            nan                            
-------------------------------------------------------------------------------------------------------------
  col         jb   p-value (jb)         k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
   88    13.3591      0.00126**    7.24636        0.0267*   0.14654       0.02446*   0.97388        0.0441*  
   89    0.59893        0.74122    1.08756        0.58055   0.09181         0.3488   0.98862        0.55499  
   90    3.09657        0.21261     3.1179        0.21036   0.10118        0.24122    0.9801        0.13524  
   91    0.66523        0.71705    0.51407        0.77334   0.09346        0.32773   0.98654        0.40766  
   92    2.23238        0.32752    2.21789        0.32991   0.07721        0.57712   0.97991        0.13073  
   93    53.6562        0.0****   23.01325      1e-05****   0.10028        0.25027   0.94416     0.00035***  
   94    1.05763         0.5893    1.11062        0.57389   0.12305        0.08884   0.98865        0.55708  
   95     1.6606        0.43592    1.92363         0.3822   0.10542        0.20182   0.98338        0.24131  
   96    0.68133         0.7113    1.13398        0.56723   0.09765        0.27837   0.98984         0.6515  
   97    3.26662        0.19528    3.40293        0.18242   0.08955        0.37911   0.98776        0.49078  
   98    5.03502        0.08066    4.58908        0.10081   0.10203        0.23287   0.97822        0.09656  
   99    5.89053        0.05259    6.30046       0.04284*   0.12954        0.06364   0.97861        0.10347  
  100    1.07091         0.5854     1.5726        0.45553   0.08146        0.50296   0.99153        0.78637  
-------------------------------------------------------------------------------------------------------------
